BUURTCODE,BUURTNAAM,WIJKNAAM,STADSDEELNAAM,population,area_km2,OAD,pop_density,parking_count,parking_capacity,accident_count,injury_count,fatal_count,property_damage_only_count,lane_length_m,parking_capacity_per_1000_residents,accident_rate_per_1000_residents,lane_density_m_per_km2
522,Achtse Barrier-Gunterslaer,Wijk Achtse Molen,Stadsdeel Woensel-Noord,3773.0,1.0153866919860075,3715.8257339579095,3715.8257339579095,0,0.0,36,9,0,27,8945.836513470553,0.0,9.541478929234032,8810.275517766811
524,Achtse Barrier-Hoeven,Wijk Achtse Molen,Stadsdeel Woensel-Noord,3886.0,0.7442094120289048,5221.648553739427,5221.648553739427,0,0.0,14,1,0,13,6662.592342765321,0.0,3.602676273803397,8952.577372814183
523,Achtse Barrier-Spaaihoef,Wijk Achtse Molen,Stadsdeel Woensel-Noord,4524.0,1.0159419413707054,4453.01036976211,4453.01036976211,0,0.0,18,4,0,14,6086.678251417806,0.0,3.9787798408488064,5991.16741179686
423,Barrier,Wijk Erp,Stadsdeel Woensel-Zuid,2040.0,0.2574742416122477,7923.1226674403,7923.1226674403,0,0.0,30,3,0,27,1364.7579562908656,0.0,14.705882352941176,5300.561126989046
631,BeA2,Wijk Meerhoven,Stadsdeel Strijp,23.0,2.6201864277760354,8.778001349897062,8.778001349897062,0,0.0,2,1,0,1,7059.812415895321,0.0,86.95652173913044,2694.393170293442
724,Bennekel-Oost,Wijk Oud-Gestel,Stadsdeel Gestel,3305.0,0.5885135674183387,5615.8433432524,5615.8433432524,0,0.0,16,3,0,13,4577.513187911793,0.0,4.841149773071104,7778.0928789665695
725,"Bennekel-West, Gagelbosch",Wijk Oud-Gestel,Stadsdeel Gestel,3374.0,0.6126733292671769,5507.013017909016,5507.013017909016,0,0.0,6,0,0,6,4221.562600034713,0.0,1.7783046828689981,6890.397212302607
112,Bergen,Wijk Centrum,Stadsdeel Centrum,2800.0,0.3461275735877155,8089.502870219685,8089.502870219685,0,0.0,26,7,0,19,4764.830724318627,0.0,9.285714285714286,13766.111364459457
111,Binnenstad,Wijk Centrum,Stadsdeel Centrum,4003.0,0.6657194976891186,6013.04305175893,6013.04305175893,5,7300.0,89,18,0,71,5043.4254510443725,1823.632275793155,22.233325006245316,7575.90166511779
722,Blaarthem,Wijk Oud-Gestel,Stadsdeel Gestel,2508.0,0.3619281303336519,6929.552554226557,6929.552554226557,0,0.0,17,2,0,15,2922.5733948598927,0.0,6.778309409888357,8075.010340217684
534,Blixembosch-Oost,Wijk Aanschot,Stadsdeel Woensel-Noord,7682.0,1.6578986404516822,4633.57639156221,4633.57639156221,0,0.0,21,3,0,18,13895.592042358785,0.0,2.733663108565478,8381.44848141804
533,Blixembosch-West,Wijk Aanschot,Stadsdeel Woensel-Noord,1996.0,0.7316578004400767,2728.0512813496257,2728.0512813496257,0,0.0,5,3,0,2,3256.6568842524493,0.0,2.50501002004008,4451.065624248985
216,Bloemenplein,Wijk Oud-Stratum,Stadsdeel Stratum,1235.0,0.1335345726800962,9248.541222044743,9248.541222044743,0,0.0,15,3,0,12,1358.218417327356,0.0,12.145748987854251,10171.286656835975
546,Bokt,Wijk Dommelbeemd,Stadsdeel Woensel-Noord,127.0,1.394575787744471,91.06711956142917,91.06711956142917,0,0.0,3,0,0,3,1740.1692130821393,0.0,23.62204724409449,1247.8125809832227
639,Bosrijk,Wijk Meerhoven,Stadsdeel Strijp,725.0,0.3412284228533814,2124.676467269308,2124.676467269308,0,0.0,2,0,0,2,1625.967648873982,0.0,2.758620689655172,4765.041655315524
232,Burghplan,Wijk Putten,Stadsdeel Stratum,2976.0,0.5046215248500672,5897.489214088177,5897.489214088177,0,0.0,18,2,0,16,1568.0735941793778,0.0,6.048387096774193,3107.4251036859414
535,Castiliëlaan,Wijk Aanschot,Stadsdeel Woensel-Noord,823.0,0.7967284919265085,1032.9742294140458,1032.9742294140458,0,0.0,0,0,0,0,2445.222522277716,0.0,0.0,3069.0787979291536
322,Doornakkers-Oost,Wijk Doornakkers,Stadsdeel Tongelre,2929.0,0.5120111407639912,5720.578649186282,5720.578649186282,0,0.0,6,2,0,4,1768.366762551893,0.0,2.0484807101399793,3453.7661815585616
321,Doornakkers-West,Wijk Doornakkers,Stadsdeel Tongelre,3483.0,0.7104901129689892,4902.249780007878,4902.249780007878,0,0.0,38,7,1,30,4373.912823397827,0.0,10.910134941142694,6156.190977971759
624,Drents Dorp,Wijk Halve Maan,Stadsdeel Strijp,2663.0,0.44621648809589,5967.955176563831,5967.955176563831,0,0.0,10,2,0,8,4279.483060712439,0.0,3.755163349605708,9590.598229514093
511,Driehoeksbos,Wijk Ontginning,Stadsdeel Woensel-Noord,942.0,0.773801899018678,1217.365841560518,1217.365841560518,0,0.0,22,8,0,14,8429.206565635752,0.0,23.354564755838638,10893.235822147146
541,Eckart,Wijk Dommelbeemd,Stadsdeel Woensel-Noord,4355.0,0.6790304179861312,6413.556572201966,6413.556572201966,0,0.0,20,3,0,17,6000.93524497792,0.0,4.5924225028702645,8837.50578181092
436,Eckartdal,Wijk Begijnenbroek,Stadsdeel Woensel-Zuid,333.0,0.3700825318533553,899.7992916130145,899.7992916130145,0,0.0,3,0,0,3,988.9734679486855,0.0,9.00900900900901,2672.3051828357166
225,Eikenburg,Wijk Kortonjo,Stadsdeel Stratum,1506.0,0.7809532082247326,1928.4125913554387,1928.4125913554387,0,0.0,11,5,0,6,1914.2567442319062,0.0,7.304116865869854,2451.1798198299307
